,name,country,region,Population (millions),revision_id,article_quality
288,Studiation Brown,Antigua and Barbuda,CARIBBEAN,0.1,825090349,Stub
289,Colin O'Neil Browne,Antigua and Barbuda,CARIBBEAN,0.1,1108425154,Stub
290,James Carlisle,Antigua and Barbuda,CARIBBEAN,0.1,1112658085,C
291,Gail Christian,Antigua and Barbuda,CARIBBEAN,0.1,1082380535,Start
292,Osbert Richard Frederick,Antigua and Barbuda,CARIBBEAN,0.1,1082381271,Start
293,William Haynes-Smith,Antigua and Barbuda,CARIBBEAN,0.1,1037116181,C
294,Tim Hector,Antigua and Barbuda,CARIBBEAN,0.1,1075044001,C
295,Cheryl Mary Clare Hurst,Antigua and Barbuda,CARIBBEAN,0.1,1082380270,Stub
296,Wilfred Jacobs,Antigua and Barbuda,CARIBBEAN,0.1,1110866224,Stub
297,Harold Lovell,Antigua and Barbuda,CARIBBEAN,0.1,1106157497,Start
298,John Lyons (Antiguan politician),Antigua and Barbuda,CARIBBEAN,0.1,1102523754,C
299,Edmond Mansoor,Antigua and Barbuda,CARIBBEAN,0.1,1106044619,Stub
300,Joanne Massiah,Antigua and Barbuda,CARIBBEAN,0.1,1095742971,Stub
301,Melford Walter Nicholas,Antigua and Barbuda,CARIBBEAN,0.1,1113392435,Start
302,Bernard Percival,Antigua and Barbuda,CARIBBEAN,0.1,1073473676,Stub
303,Alincia Williams-Grant,Antigua and Barbuda,CARIBBEAN,0.1,1080767913,Start
304,Joaquín Samuel de Anchorena,Argentina,SOUTH AMERICA,46.2,1096421201,Start
305,Juan Agustín Augier,Argentina,SOUTH AMERICA,46.2,989941326,Stub
306,Uladislao Augier,Argentina,SOUTH AMERICA,46.2,1083670137,Stub
307,Joaquín Belgrano,Argentina,SOUTH AMERICA,46.2,1033486500,Start
308,Antonio Bermejo,Argentina,SOUTH AMERICA,46.2,1111012579,Start
309,Antonio Beruti,Argentina,SOUTH AMERICA,46.2,1072761348,Start
310,Héctor Bidonde,Argentina,SOUTH AMERICA,46.2,1091652004,Start
311,Silvano Bores,Argentina,SOUTH AMERICA,46.2,1035890502,Stub
312,Pedro Braillard Poccard,Argentina,SOUTH AMERICA,46.2,1100848745,Stub
313,Exequiel Bustillo,Argentina,SOUTH AMERICA,46.2,1096179751,Stub
314,Mario Cafiero,Argentina,SOUTH AMERICA,46.2,1102185475,Stub
315,Alberto Manuel Campos,Argentina,SOUTH AMERICA,46.2,1073206939,Start
316,Alejo Castex,Argentina,SOUTH AMERICA,46.2,1096414709,C
317,Dámaso Centeno,Argentina,SOUTH AMERICA,46.2,1096183091,Stub
318,Carlos Corach,Argentina,SOUTH AMERICA,46.2,1068148753,Stub
319,Jorge Coscia,Argentina,SOUTH AMERICA,46.2,1099409991,Stub
320,Juan Carlos Del Bello,Argentina,SOUTH AMERICA,46.2,1100037128,Stub
321,Luis L. Domínguez,Argentina,SOUTH AMERICA,46.2,1089356576,C
322,Máximo Etchecopar,Argentina,SOUTH AMERICA,46.2,1115155777,Start
323,Héctor Toty Flores,Argentina,SOUTH AMERICA,46.2,1067754685,Stub
324,Juan Fugl,Argentina,SOUTH AMERICA,46.2,1073206214,Stub
325,Santiago Gallo,Argentina,SOUTH AMERICA,46.2,1039135531,Start
